EU282432	Siberian permafrost	Nostoc sp.	195-A22	 	Vishnivetskaya	"(in) Margesin,R. (Ed.); PERMAFROST SOILS: 73-84; Springer-Verlag Berlin Heidelberg (2009)"	 
EU087570	free-living	Nostoc sp.	CCMEE 6160	 	Knowles	"FEMS Microbiol. Ecol. 66 (2), 261-270 (2008)"	18710394
AB039000	free-living	Gloeocapsa sp.	PCC 73106	 	Ishida	"FEMS Microbiol. Lett. 201 (1), 79-82 (2001)"	11445171
AB039003	free-living	Fischerella muscicola 	PCC 7414	 	Ishida	"FEMS Microbiol. Lett. 201 (1), 79-82 (2001)"	11445171
AB039005	free-living	Chroococcidiopsis thermalis 	PCC 7203	 	Ishida	"FEMS Microbiol. Lett. 201 (1), 79-82 (2001)"	11445171
U40338	free-living	Microcystis aeruginosa 	PCC7005	 	Neilan	"Int. J. Syst. Bacteriol. 47 (3), 693-697 (1997)"	9226902
AJ133155	free-living	Aphanizomenon flos-aquae	TR183	 	Lehtimaki	"Int. J. Syst. Evol. Microbiol. 50 (PT 3), 1043-1053 (2000)"	10843044
Y18792	free-living	Spirulina sp.	MPI S4	 	Nubel	"Int. J. Syst. Evol. Microbiol. 50 (PT 3), 1265-1277 (2000)"	10843072
AF268009	free-living	Nodularia spumigena	NSLA01	 	Moffitt	"Int. J. Syst. Evol. Microbiol. 51 (Pt 2), 505-512 (2001)"	11321097
AF268018	free-living	Nodularia sphaerocarpa	CDAC1966/93-1	 	Moffitt	"Int. J. Syst. Evol. Microbiol. 51 (Pt 2), 505-512 (2001)"	11321097
AF268020	free-living	Nodularia harveyana	CDAC1983/300	 	Moffitt	"Int. J. Syst. Evol. Microbiol. 51 (Pt 2), 505-512 (2001)"	11321097
AF268021	free-living	Nodularia harveyana 	UTEX-B2093	 	Moffitt	"Int. J. Syst. Evol. Microbiol. 51 (Pt 2), 505-512 (2001)"	11321097
